"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2229","Critical user flows work @health","chromium","Sat Nov 08 10:16:09 GMT 2025","passed","Sat Nov 08 10:16:11 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","1","Should filter users by permission","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","2","Production health check @health @production","firefox","Sat Nov 08 10:16:28 GMT 2025","skipped","Sat Nov 08 10:16:28 GMT 2025","Production Environment Health @production","health.spec.ts","",""
"","8819","Dashboard page matches baseline @visual @smoke","webkit","Sat Nov 08 10:17:21 GMT 2025","skipped","Sat Nov 08 10:17:29 GMT 2025","Visual Regression Tests","visual.spec.ts","",""
"","5887","Performance baseline check @health @performance","webkit","Sat Nov 08 10:17:01 GMT 2025","passed","Sat Nov 08 10:17:07 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","199","Login form visual consistency @visual @smoke","firefox","Sat Nov 08 10:16:53 GMT 2025","skipped","Sat Nov 08 10:16:53 GMT 2025","Login Page Visual Tests","visual.spec.ts","",""
"","427","@api @regression should test utility method","webkit","Sat Nov 08 10:16:55 GMT 2025","passed","Sat Nov 08 10:16:55 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","107","@api @smoke should handle non-existent booking gracefully","firefox","Sat Nov 08 10:16:21 GMT 2025","passed","Sat Nov 08 10:16:21 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","132","@api @regression should test utility method","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","2585","Login performance @performance","chromium","Sat Nov 08 10:16:17 GMT 2025","passed","Sat Nov 08 10:16:19 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","564","@api @regression should retrieve all bookings","chromium","Sat Nov 08 10:16:08 GMT 2025","passed","Sat Nov 08 10:16:09 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","2","Should generate booking data from templates","webkit-desktop","Sat Nov 08 10:22:10 GMT 2025","passed","Sat Nov 08 10:22:10 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","9132","Page load performance @performance @smoke","webkit","Sat Nov 08 10:17:12 GMT 2025","passed","Sat Nov 08 10:17:21 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","1","Should calculate optimal shard count","firefox-desktop","Sat Nov 08 10:21:29 GMT 2025","passed","Sat Nov 08 10:21:29 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","21792","Dashboard page matches baseline @visual @smoke","firefox-desktop","Sat Nov 08 10:22:07 GMT 2025","skipped","Sat Nov 08 10:22:28 GMT 2025","Visual Regression Tests","visual.spec.ts","",""
"","1","Should generate unique test IDs","webkit","Sat Nov 08 10:16:55 GMT 2025","passed","Sat Nov 08 10:16:55 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","303","@api @regression should retrieve all bookings","webkit","Sat Nov 08 10:16:54 GMT 2025","passed","Sat Nov 08 10:16:55 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","7763","Page load performance @performance @smoke","webkit-desktop","Sat Nov 08 10:22:31 GMT 2025","passed","Sat Nov 08 10:22:39 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","3","Should calculate shard statistics correctly","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","11058","@smoke should create booking via API and verify data integrity","webkit","Sat Nov 08 10:17:02 GMT 2025","passed","Sat Nov 08 10:17:13 GMT 2025","@integration API+UI Integration Tests","integration/booking.integration.spec.ts","",""
"","8","Should handle parallel-safe user generation","firefox","Sat Nov 08 10:16:20 GMT 2025","passed","Sat Nov 08 10:16:20 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","508","@api @smoke should create booking with George Kaseri data","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","1","Should get tests for specific shard","webkit","Sat Nov 08 10:16:54 GMT 2025","passed","Sat Nov 08 10:16:54 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","457","@smoke should verify mock booking display (mock mode only)","webkit-desktop","Sat Nov 08 10:26:12 GMT 2025","skipped","Sat Nov 08 10:26:12 GMT 2025","@integration API+UI Integration Tests","integration/booking.integration.spec.ts","",""
"","3","Should check feature flags","chromium","Sat Nov 08 10:16:09 GMT 2025","passed","Sat Nov 08 10:16:09 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","20","Should generate shard configurations for CI","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","287","Memory usage monitoring @performance","firefox","Sat Nov 08 10:16:49 GMT 2025","skipped","Sat Nov 08 10:16:49 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","3","Should handle parallel booking data generation","firefox","Sat Nov 08 10:16:20 GMT 2025","passed","Sat Nov 08 10:16:20 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","8","Should generate booking data from templates","chromium","Sat Nov 08 10:16:09 GMT 2025","passed","Sat Nov 08 10:16:09 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","3","Should generate performance report","webkit-desktop","Sat Nov 08 10:22:09 GMT 2025","passed","Sat Nov 08 10:22:09 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","5","Should generate performance report","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
